#	Datafile	created	in	R																																																				
#cur_yr																																																								
2015																																																								
#styr...good	idea	perhaps	to	have	this	started	well	before	data	to	get	cohort	effects	involved...no	fancy	indexing	to	get	1st-year																																					
#	of	data	indexing	to	work																																																			
1940																																																								
#endyr																																																								
2018																																																								
#N_data_sets																																																								
1																																																								
#N_yrs_data_sets																																																								
59																																																								
																																																								
#yrs_data																																																								
#Fshry																																																								
1957 1958 1959 1960 1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015		
#Age_st																																																								
2																																																								
#Age_end																																																								
10																																																								
#fishery																																																								
0.0391	0.074	0.1124	0.1506	0.206	0.1935	0.2272	0.2397	0.2541
0.0377	0.0654	0.1068	0.1498	0.1802	0.2066	0.2511	0.2405	0.275
0.0311	0.0633	0.1044	0.1426	0.1825	0.2241	0.2205	0.257	0.2591
0.0357	0.079	0.1035	0.1398	0.187	0.235	0.2597	0.3014	0.292
0.0357	0.0672	0.0894	0.1156	0.159	0.207	0.2525	0.2696	0.3519
0.0643	0.0713	0.0941	0.1157	0.1493	0.1739	0.2095	0.2465	0.331
0.0452	0.0725	0.0957	0.1237	0.1651	0.2053	0.2406	0.2725	0.325
0.07	0.0896	0.115	0.1444	0.1498	0.1829	0.1887	0.1961	0.2856
0.047	0.074	0.101	0.132	0.166	0.205	0.226	0.254	0.304
0.0681	0.1011	0.1255	0.1812	0.2061	0.2059	0.2137	0.2368	0.2686
0.0528	0.0859	0.1391	0.1777	0.2326	0.244	0.2401	0.2532	0.2686
0.0608	0.0887	0.1175	0.1631	0.1984	0.2519	0.2583	0.257	0.2922
0.0605	0.0831	0.1126	0.1462	0.1941	0.2173	0.2347	0.3118	0.2933
0.0501	0.0781	0.0974	0.1363	0.168	0.1975	0.2344	0.2248	0.3295
0.058	0.0779	0.0923	0.1207	0.1564	0.1746	0.2086	0.2424	0.2514
0.0438	0.0699	0.0939	0.1204	0.1384	0.1564	0.1818	0.2168	0.2335
0.0547	0.0693	0.0884	0.1086	0.1276	0.1477	0.1574	0.193	0.2153
0.0525	0.0724	0.0817	0.1038	0.1249	0.143	0.1564	0.1633	0.2126
0.0755	0.0982	0.1027	0.1192	0.1378	0.1643	0.1796	0.1971	0.224
0.0754	0.1103	0.1254	0.1465	0.1593	0.1804	0.2049	0.2225	0.2423
0.0666	0.1054	0.1489	0.1779	0.194	0.2182	0.2357	0.249	0.2678
0.0534	0.0858	0.1459	0.1993	0.233	0.2351	0.2469	0.2777	0.2582
0.0519	0.0771	0.1066	0.1799	0.227	0.234	0.2475	0.2501	0.2676
0.0622	0.0846	0.1016	0.1283	0.208	0.2556	0.2572	0.2452	0.2753
0.0504	0.0624	0.0974	0.122	0.149	0.2456	0.2658	0.2598	0.2953
0.0661	0.0936	0.1166	0.1483	0.1616	0.1893	0.2821	0.3749	0.3196
0.0608	0.094	0.1374	0.1779	0.1971	0.2119	0.2373	0.275	0.3966
0.0584	0.0857	0.1405	0.1799	0.1974	0.2301	0.237	0.2626	0.313
0.0571	0.0715	0.1008	0.1537	0.1911	0.2091	0.2301	0.2406	0.2535
0.0574	0.077	0.0887	0.1159	0.1638	0.187	0.2438	0.2357	0.2417
0.0538	0.0649	0.0797	0.102	0.1245	0.1843	0.2061	0.2263	0.2579
0.0475	0.0601	0.0768	0.0911	0.1126	0.1374	0.2158	0.2211	0.2569
0.0628	0.0669	0.0859	0.0969	0.106	0.1245	0.1475	0.2266	0.2256
0.0636	0.0754	0.086	0.0991	0.1082	0.1151	0.1379	0.1727	0.2435
0.0482	0.0734	0.0985	0.113	0.1264	0.1357	0.1545	0.1792	0.2154
0.0692	0.087	0.1149	0.1308	0.1386	0.1429	0.1568	0.174	0.1841
0.0553	0.0815	0.1086	0.1303	0.1387	0.1469	0.1538	0.1702	0.1862
0.0619	0.0786	0.1069	0.1405	0.1616	0.1656	0.1675	0.1727	0.1905
0.0576	0.083	0.1149	0.1465	0.171	0.1827	0.1886	0.1856	0.2085
0.0547	0.0902	0.1165	0.1354	0.1693	0.1841	0.1872	0.1856	0.1823
0.0533	0.0889	0.1353	0.164	0.1729	0.2424	0.2003	0.2218	0.2302
