#	Datafile	created	in	R																																																				
#cur_yr																																																								
2015																																																								
#styr...good	idea	perhaps	to	have	this	started	well	before	data	to	get	cohort	effects	involved...no	fancy	indexing	to	get	1st-year																																					
#	of	data	indexing	to	work																																																			
1961																																																								
#endyr																																																								
2017																																																								
#N_data_sets																																																								
1																																																								
#N_yrs_data_sets																																																								
55																																																								
																																																								
#yrs_data																																																								
#Fshry																																																								
1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015		
#Age_st																																																								
3																																																								
#Age_end																																																								
15																																																								
#fishery																																																								
0.123	0.212	0.332	0.428	0.516	0.642	0.687	0.709	0.793	0.807	0.859	0.979	1.034																																												
0.131	0.213	0.3	0.381	0.475	0.525	0.595	0.643	0.7	0.747	0.814	0.855	1.01																																												
0.1337	0.1851	0.2951	0.3577	0.4927	0.6243	0.7232	0.7239	0.8346	0.8345	0.8956	0.9584	1.033																																												
0.1208	0.2029	0.2965	0.4143	0.4724	0.5901	0.6811	0.7051	0.7248	0.8292	0.9478	1.0893	1.034																																												
0.1431	0.1953	0.247	0.385	0.5177	0.6347	0.7825	0.6746	0.8636	0.8467	0.8556	1.1127	1.0748																																												
0.1401	0.2032	0.2965	0.3596	0.5336	0.7202	0.6966	0.9862	1.067	1.046	1.0202	0.9644	1.3232																																												
0.1718	0.1986	0.2618	0.3277	0.4186	0.5589	0.605	0.615	0.9536	0.9823	0.7303	1.1869	1.2875																																												
0.1609	0.1835	0.2395	0.3182	0.4067	0.5149	0.5501	0.6626	0.6343	1.0245	0.8491	1.1634	1.022																																												
0.15	0.1975	0.1978	0.2937	0.3798	0.4419	0.5115	0.6712	0.904	0.9364	0.9142	1.0346	1.0086																																												
0.1309	0.1735	0.1907	0.2373	0.381	0.4667	0.5509	0.5972	0.6939	0.8543	0.9514	1.173	0.9627																																												
0.1223	0.1633	0.183	0.2052	0.2866	0.4474	0.5424	0.6469	0.6343	0.8418	0.7383	0.5822	0.9408																																												
0.124	0.1568	0.1864	0.2211	0.2648	0.338	0.4816	0.5516	0.6407	0.7395	0.8079	0.7187	0.9756																																												
0.1264	0.1602	0.2069	0.2554	0.3057	0.4078	0.5012	0.6768	0.7754	0.8303	0.7786	0.9575	0.9102																																												
0.1408	0.186	0.2323	0.3131	0.373	0.4394	0.5209	0.654	0.8403	0.7275	0.9414	0.9281	1.0715																																												
